    1    1    4   25.00   22.29   0.0676
    2    4    6   22.29   21.95   0.0342
    3    4    5   22.29   21.85   0.0335
    4    6    7   21.95   21.84   0.0105
    5    5    7   21.85   21.84   0.0036
    6    5    2   21.85   23.00  -0.0358
    7    2    8   23.00   21.78   0.0497
    8    5    9   21.85   20.57   0.0658
    9    7    8   21.84   21.78   0.0141
   10    6    8   21.95   21.78   0.0238
   11    9    3   20.57   18.00   0.0659
   12    8    3   21.78   18.00   0.0877
